,カード名,種類,☆,属性,種族,攻撃力,守備力,パスワード,効果・説明
1,ペンギン・ナイト,効果,3,水,水,900,800,36039163,このカードが相手のカードの効果によってデッキから墓地へ送られた時、自分の墓地に存在するカードを全てデッキに戻してシャッフルする。
2,デーモンの斧,装備魔法,,,,,,40619825,(1)：装備モンスターの攻撃力は１０００アップする。(2)：このカードがフィールドから墓地へ送られた時、自分フィールドのモンスター１体をリリースして発動できる。このカードをデッキの一番上に戻す。
3,黒いペンダント,装備魔法,,,,,,65169794,装備モンスターの攻撃力は５００ポイントアップする。このカードがフィールド上から墓地へ送られた時、相手ライフに５００ポイントダメージを与える。
4,光の角,装備魔法,,,,,,38552107,装備したモンスターの守備力は８００ポイントアップする。このカードがフィールドから墓地に送られた時、５００ライフポイント払えばデッキの一番上に戻る。
5,悪魔のくちづけ,装備魔法,,,,,,99597615,(1)：装備モンスターの攻撃力は７００アップする。(2)：このカードがフィールドから墓地へ送られた時、５００ＬＰを払って発動できる。このカードをデッキの一番上に戻す。
6,六芒星の呪縛,永続罠,,,,,,18807108,相手フィールド上のモンスター１体を選択して発動できる。選択したモンスターは攻撃できず、表示形式の変更もできない。選択したモンスターが破壊された時、このカードを破壊する。
7,メタル・フィッシュ,通常,5,水,機械,1600,1900,55998462,金属の魚。鋭いカッターになっている尾ビレで相手を切り刻む。
8,エレクトリック・スネーク,効果,3,光,雷,800,900,11324436,このカードが相手のカードの効果によって手札から墓地へ捨てられた時、自分のデッキからカードを２枚ドローする。
9,クイーン・バード,通常,5,風,鳥獣,1200,2000,73081602,大きなくちばしで相手をつついて攻撃する。守備力が高い。
10,アメーバ,効果,1,水,水,300,350,95174353,フィールド上に表側表示で存在するこのカードのコントロールが相手に移った時、相手は２０００ポイントダメージを受ける。この効果はこのカードがフィールド上に表側表示で存在する限り１度しか使用できない。
11,クジャック,通常,5,風,鳥獣,1700,1500,20624263,美しい羽根を広げる大きなクジャク。その羽根を飛ばして攻撃！
12,マハー・ヴァイロ,効果,4,光,魔法使い,1550,1400,93013676,(1)：このカードの攻撃力は、このカードに装備された装備カードの数×５００アップする。
13,王室前のガーディアン,通常,4,光,機械,1650,1600,47879985,王室をガードする衛兵ロボ。当たるまで追い続けるミサイルを撃つ。
14,ファイヤー・クラーケン,通常,4,炎,水,1600,1500,46534755,水の中でもボウボウと燃え盛る炎に包まれたイカ。
15,イビー,効果,3,地,昆虫,850,750,32539892,このカードが相手のカードの効果によって手札から墓地へ捨てられた時、相手ライフに１０００ポイントダメージを与える。
16,グリグル,効果,1,地,植物,350,300,95744531,フィールド上に表側表示で存在するこのカードのコントロールが相手に移った時、自分は３０００ライフポイント回復する。この効果はこのカードがフィールド上に表側表示で存在する限り１度しか使用できない。
17,レッド・ドラゴン,通常,6,炎,ドラゴン,1700,1900,56789759,ファイヤーボールをはき辺りを火の海にする、真っ赤なドラゴン。
18,深き森の長老,通常,6,地,獣,1800,1900,14015067,昔から森に住んでいる白ヤギ。真の姿は森の長老。
19,ヴァルキリー,通常,5,光,天使,1800,1700,35565537,神話に出てくる闘いの天使。手にする槍で天罰を下す。
20,ウェザー・レポート,ﾘﾊﾞｰｽ,4,水,水,950,1500,72053645,リバース：相手フィールド上に表側表示で存在する「光の護封剣」を全て破壊する。破壊に成功した場合、次の自分のバトルフェイズを２回行う事ができる。
21,メカニカルスネイル,通常,3,闇,機械,800,1000,34442949,機械に改造されたカタツムリ。しかし、スピードはあまり変わらない。
22,炎を食らう大亀,通常,5,水,水,1400,1800,96981563,真っ赤な甲羅が特徴のカメ。炎を食べると言われている。
23,リクイド・ビースト,通常,3,水,水,950,800,93108297,ドロドロ溶けて、水の中を自在に移動できる液体生命体。
24,悪魔の偵察者,ﾘﾊﾞｰｽ,2,闇,悪魔,650,500,81863068,リバース：相手はデッキからカードを３枚ドローする。この効果でドローしたカードをお互いに確認し、その中から魔法カードを全て墓地へ捨てる。
25,満ち潮のマーマン,通常,4,水,水,1650,1300,54579801,水の中を自在に泳ぐ、半漁人の戦士。攻撃は強い。
26,王座の侵略者,ﾘﾊﾞｰｽ,4,地,戦士,1350,1700,03056267,リバース：相手フィールド上に存在するモンスター１体を選択し、そのモンスターとこのカードのコントロールを入れ替える。この効果はバトルフェイズに発動する事はできない。
27,ウィップテイル・ガーゴイル,通常,4,闇,悪魔,1650,1600,91996584,ムチのように長いしっぽを使い、空中から襲いかかってくる。
28,スロットマシーンAM-7,通常,7,闇,機械,2000,2300,03797883,スロットに揃う数で能力を変化させる事ができるという機械。
29,サクリファイス,儀式効果,1,闇,魔法使い,0,0,64631466,「イリュージョンの儀式」により降臨。(1)：１ターンに１度、相手フィールドのモンスター１体を対象として発動できる。その相手モンスターを装備カード扱いとしてこのカードに装備する（１体のみ装備可能）。(2)：このカードの攻撃力・守備力は、このカードの効果で装備したモンスターのそれぞれの数値になり、このカードが戦闘で破壊される場合、代わりに装備したそのモンスターを破壊する。(3)：このカードの効果でモンスターを装備したこのカードの戦闘で自分が戦闘ダメージを受けた時、相手も同じ数値分の効果ダメージを受ける。
30,弓を引くマーメイド,通常,4,水,水,1400,1500,65570596,普段は貝殻の中に身を隠し、近づく者に矢を放つマーメイド。
31,墓守の使い魔,永続魔法,,,,,,16762927,相手はデッキの一番上のカード１枚を墓地へ送らなければ、攻撃宣言をする事ができない。
32,邪悪な儀式,通常魔法,,,,,,12470447,フィールド上の全てのモンスターの表示形式を入れ替える。発動ターン、モンスターの表示形式は変更できない。このカードはスタンバイフェイズにしか発動できない。
33,成金ゴブリン,通常魔法,,,,,,70368879,自分のデッキからカードを１枚ドローする。その後、相手は１０００ライフポイント回復する。
34,通行税,永続魔法,,,,,,82003859,お互いのプレイヤーは５００ライフポイントを払わなければ、攻撃宣言をする事ができない。
35,最終戦争,通常魔法,,,,,,18591904,手札を５枚捨てて発動する。フィールド上に存在するカードを全て破壊する。
36,強奪【禁止カード】,装備魔法,,,,,,45986603,このカードを装備した相手モンスター１体のコントロールを得る。相手のスタンバイフェイズ毎に相手は１０００ライフポイント回復する。
37,聖域の歌声,ﾌｨｰﾙﾄﾞ魔法,,,,,,81380218,フィールド上に表側守備表示で存在する全てのモンスターの守備力は５００ポイントアップする。
38,押収【禁止カード】,通常魔法,,,,,,17375316,１０００ライフポイントを払って発動する。相手の手札を確認し、その中からカードを１枚捨てる。
39,いたずら好きな双子悪魔【禁止カード】,通常魔法,,,,,,44763025,１０００ライフポイントを払って発動する。相手は手札をランダムに１枚捨て、さらにもう１枚選択して捨てる。
40,闇の訪れ,通常魔法,,,,,,80168720,手札を２枚捨てる。表側表示のモンスター１体を選択し、表示形式はそのままで裏側表示にする。
41,天使の手鏡,通常罠,,,,,,17653779,フィールド上のモンスター１体を対象に発動した相手の魔法を、別の正しい対象に移し替える。
42,移り気な仕立屋,速攻魔法,,,,,,43641473,モンスターに装備された装備カード１枚を、別の正しい対象となるモンスター１体に移し替える。
43,突進,速攻魔法,,,,,,70046172,(1)：フィールドの表側表示モンスター１体を対象として発動できる。そのモンスターの攻撃力はターン終了時まで７００アップする。
44,頼もしき守護者,速攻魔法,,,,,,16430187,フィールド上に表側表示で存在するモンスター１体の守備力はエンドフェイズ時まで７００ポイントアップする。
45,強引な番兵【禁止カード】,通常魔法,,,,,,42829885,相手の手札を確認し、その中からカードを１枚デッキに戻す。
46,魔力の枷,永続魔法,,,,,,79323590,お互いのプレイヤーは５００ライフポイントを払わなければ、手札からカードを召喚・特殊召喚・発動・セットする事ができない。
47,サイクロン,速攻魔法,,,,,,05318639,(1)：フィールドの魔法・罠カード１枚を対象として発動できる。そのカードを破壊する。
48,ハリケーン【禁止カード】,通常魔法,,,,,,42703248,フィールド上の魔法・罠カードを全て持ち主の手札に戻す。
49,苦渋の選択【禁止カード】,通常魔法,,,,,,74191942,自分のデッキからカードを５枚選択して相手に見せる。相手はその中から１枚を選択する。相手が選択したカード１枚を自分の手札に加え、残りのカードを墓地へ捨てる。
50,毒蛇の牙,通常罠,,,,,,00596051,フィールド上に表側表示で存在するモンスター１体を選択して発動する。選択したモンスターの守備力はエンドフェイズ時まで５００ポイントダウンする。
51,達人キョンシー,通常,4,地,アンデット,1750,1000,24530661,強い相手を求めさまよっているキョンシー。かつてはあらゆる武術の達人として知られていたらしい。
52,大くしゃみのカバザウルス,通常,4,水,恐竜,1700,1500,51934376,巨大な体を持つカバの化け物。その巨体からくり出されるクシャミは、ハリケーンに匹敵する。
53,大木人１８,通常,4,地,機械,1600,1900,97923414,切り倒された大木に邪悪な魂が宿った姿。森の迷い込んだ者に襲いかかる。
54,ダークジェロイド,効果,4,闇,悪魔,1200,1500,90980792,このカードが召喚・反転召喚・特殊召喚に成功した時、フィールド上の表側表示モンスター１体を選択する。そのモンスターはフィールド上に表側表示で存在する限り、攻撃力が８００ポイントダウンする。
55,ニュードリュア,効果,4,闇,悪魔,1200,800,04335645,このカードが戦闘によって破壊され墓地へ送られた時、フィールド上に存在するモンスター１体を破壊する。
56,地獄詩人ヘルポエマー,効果,5,闇,悪魔,2000,1400,76052811,このカードは墓地からの特殊召喚はできない。(1)：戦闘で破壊されたこのカードが墓地に存在する場合、相手バトルフェイズ終了時に発動する。このカードが墓地に存在する場合、相手の手札をランダムに１枚選んで捨てる。
57,墓守の偵察者,ﾘﾊﾞｰｽ,4,闇,魔法使い,1200,2000,24317029,リバース：自分のデッキから攻撃力１５００以下の「墓守の」と名のついたモンスター１体を特殊召喚する。
58,墓守の呪術師,効果,3,闇,魔法使い,800,800,50712728,このカードが召喚・反転召喚・特殊召喚された時、相手プレイヤーに５００ポイントダメージを与える。
59,墓守の番兵,ﾘﾊﾞｰｽ,4,闇,魔法使い,1000,1900,37101832,リバース：フィールド上の相手モンスター１体を持ち主の手札に戻す。
60,墓守の長槍兵,効果,4,闇,魔法使い,1500,1000,63695531,守備表示モンスターを攻撃した時、このカードの攻撃力が守備表示モンスターの守備力を越えていれば、その数値だけ相手ライフポイントに戦闘ダメージを与える。
61,墓守の従者,効果,3,闇,魔法使い,700,500,99690140,このカードが相手プレイヤーに与える戦闘ダメージは効果によるダメージとして扱う。
62,墓守の監視者,効果,4,闇,魔法使い,1000,1000,26084285,相手プレイヤーが自らの手札を捨てる効果を含むカードを発動した時、このカードを手札から墓地に送る事で、その発動と効果を無効にしてそのカードを破壊する。
63,墓守の長,効果,5,闇,魔法使い,1900,1200,62473983,このカードは自分のフィールド上に１枚しか存在できない。このカードがフィールド上に存在する限り、自分の墓地は「王家の眠る谷-ネクロバレー」の効果を受けない。このカードが生け贄召喚に成功した場合、自分の墓地に存在する「墓守の」という名のついたモンスターカード１枚をフィールド上に特殊召喚する事ができる。
64,墓守の大筒持ち,効果,4,闇,魔法使い,1400,1200,99877698,自分フィールド上の「墓守の」という名のついたモンスターカード１体を生け贄に捧げる度に、相手に７００ポイントダメージを与える。この場合「墓守の大筒持ち」を生け贄に捧げる事はできない。
65,墓守の暗殺者,効果,4,闇,魔法使い,1500,1500,25262697,「王家の眠る谷-ネクロバレー」がフィールド上に存在しなければ発動できない。このカードの攻撃宣言時、相手表側表示モンスターの表示形式を変更する事ができる。
66,ウジャト眼を持つ男,効果,4,闇,魔法使い,1600,1600,51351302,このカードを通常召喚した時と自分のスタンバイフェイズ時、相手フィールド上にセットされているカード１枚を選択してめくり、確認した後元に戻す。
67,ジャッカルの聖戦士,効果,7,光,獣戦士,2700,1200,98745000,このカードが相手フィールド上モンスター１体を戦闘によって破壊し相手の墓地に送った時、そのカードを相手のデッキの一番上に戻す事ができる。
68,不幸を告げる黒猫,ﾘﾊﾞｰｽ,2,闇,獣,500,300,24140059,リバース：デッキから罠カードを１枚選択し、デッキの一番上に置く。「王家の眠る谷-ネクロバレー」がフィールド上に存在する場合、選択した罠カードを手札に加える事ができる。
69,黄泉へ渡る船,効果,3,水,水,800,1400,51534754,このカードが戦闘によって破壊され墓地に送られた時、このカードを破壊したモンスターを破壊する。
70,有翼賢者ファルコス,効果,4,風,鳥獣,1700,1200,87523462,このカードが戦闘によって破壊し墓地に送った表側攻撃表示の相手モンスターを、相手のデッキの一番上に戻す事ができる。
71,幸運を告げるフクロウ,ﾘﾊﾞｰｽ,2,風,鳥獣,300,500,23927567,リバース：デッキからフィールド魔法カードを１枚選択し、デッキの一番上に置く。「王家の眠る谷-ネクロバレー」がフィールド上に存在する場合、選択したフィールド魔法カードを手札に加える事ができる。
72,シャブティのお守り,効果,1,地,岩石,100,100,50412166,手札からこのカードを捨てる。エンドフェイズまで、自分フィールド上の「墓守の」という名のついたモンスターカードが受ける戦闘ダメージを０にする。
73,スネークポット,ﾘﾊﾞｰｽ,2,地,爬虫類,600,300,86801871,リバース：自分のフィールド上に「毒蛇トークン」（爬虫類族・地・星３・攻／守１２００）を１体特殊召喚する。「毒蛇トークン」が戦闘によって破壊された場合、相手ライフに５００ポイントダメージを与える。
74,魂を削る死霊,効果,3,闇,アンデット,300,200,23205979,このカードは戦闘では破壊されない。このカードがカードの効果の対象になった時、このカードを破壊する。このカードが直接攻撃によって相手ライフに戦闘ダメージを与えた時、相手の手札をランダムに１枚捨てる。
75,ナイトメア・ホース,効果,2,闇,アンデット,500,400,59290628,このカードは相手フィールド上にモンスターが存在しても、相手プレイヤーに直接攻撃をする事ができる。
76,ナイトメアを駆る死霊,融合効果,5,闇,アンデット,800,600,85684223,「魂を削る死霊」＋「ナイトメア・ホース」このカードは戦闘によっては破壊されない。魔法・罠・効果モンスターの効果の対象になった時、このカードを破壊する。このカードは相手フィールド上にモンスターが存在しても相手プレイヤーに直接攻撃する事ができる。直接攻撃に成功した場合、相手はランダムに手札を１枚捨てる。
77,闇の指名者,通常魔法,,,,,,78053598,モンスターカード名を１つ宣言する。宣言したカードが相手のデッキにある場合、そのカード１枚を相手の手札に加える。
78,ショット・ガン・シャッフル,永続魔法,,,,,,12183332,３００ライフポイントを払う。自分、または相手のデッキをシャッフルする。この効果は１ターンに１度しか使えない。
79,名推理【制限カード】,通常魔法,,,,,,58577036,相手プレイヤーはモンスターのレベルを宣言する。通常召喚可能なモンスターが出るまで自分のデッキからカードをめくる。出たモンスターが宣言されたレベルと同じ場合、めくったカードを全て墓地へ送る。違う場合、出たモンスターを特殊召喚し、それ以外のめくったカードは全て墓地へ送る。
80,悪夢の拷問部屋,永続魔法,,,,,,85562745,相手ライフに戦闘ダメージ以外のダメージを与える度に、相手ライフに３００ポイントダメージを与える。「悪夢の拷問部屋」の効果では、このカードの効果は適用されない。
81,タイムカプセル,通常魔法,,,,,,11961740,自分のデッキからカードを１枚選択し、裏側表示でゲームから除外する。発動後２回目の自分のスタンバイフェイズ時にこのカードを破壊し、そのカードを手札に加える。
82,王家の眠る谷-ネクロバレー,ﾌｨｰﾙﾄﾞ魔法,,,,,,47355498,フィールド上の「墓守の」と名のついたモンスターの攻撃力・守備力は５００ポイントアップする。また、墓地のカードに効果が及ぶ魔法・罠・効果モンスターの効果は無効化され、お互いに墓地のカードをゲームから除外できない。
83,バスターランチャー,装備魔法,,,,,,84740193,攻撃力１０００以下のモンスターのみ装備可能。ダメージ計算時、相手モンスターが攻撃表示なら攻撃力、守備表示なら守備力が２５００ポイント以上の場合、このカードを装備したモンスターの攻撃力は２５００ポイントアップする。
